Text3,Text4,Text1,Text2,Text
"
Button (LotusScript®)


Represents an action, action hotspot, or button on a form
or document.
 Note: This class is not supported in COM. 
Events   Click   ObjectExecute  
Access  To
access an action, action hotspot, or button, write a script that responds
to one of its events. A Button object has no properties or methods. 
 Usage  The
Button, Field, and Navigator classes provide entry points to scripts
from the Notes® UI. So do NotesTimer,
NotesUIDatabase, NotesUIDocument, and NotesUIView.    



","
Click (Button class - LotusScript®)


Occurs when the user selects the action, action hotspot,
or button.

 Defined
in   Button class  
 Syntax   Click(Source
As Button)  
 Parameters   Source  Button.
Read-only. The action, action hotspot, or button. 
 Usage  When
you create a script that responds to this event, Domino® creates the syntax of the event for
you (including the parameter). You do not need to type it in. 



",,,
"
Button (LotusScript®)


Represents an action, action hotspot, or button on a form
or document.
 Note: This class is not supported in COM. 
Events   Click   ObjectExecute  
Access  To
access an action, action hotspot, or button, write a script that responds
to one of its events. A Button object has no properties or methods. 
 Usage  The
Button, Field, and Navigator classes provide entry points to scripts
from the Notes® UI. So do NotesTimer,
NotesUIDatabase, NotesUIDocument, and NotesUIView.    



","
ObjectExecute (Button class - LotusScript®)


Occurs when an action, button, or hotspot is activated
by an OLE2 server that is FX/Notesflow enabled.

 Defined
in   Button class  
 Syntax   ObjectExecute(Source
As Button, Data As Variant)  
 Parameters   Source  Button.
Read-only.  Data  Variant. Handle to the OLE2
server Dispatch/Automation interface. 
 Usage  When
you create a script that responds to this event, Domino® creates the syntax of the event for
you (including the parameter). You do not need to type it in.  See
""Using OLE
custom controls"" example for creating a form action that executes
when an embedded OLE custom control (a spreadsheet) detects a mouse
click. 



","
LotusScript® constants:
ACL level


Where used:
 
 CreateACLEntry in
NotesACL
 InternetLevel in
NotesACL
 NotesACLEntry 
 CurrentAccessLevel in
NotesDatabase
 Level in NotesACLEntry
 GrantAccess in
NotesDatabase
 QueryAccess in
NotesDatabase
 Constants: 
ACLLEVEL_AUTHOR (3)
ACLLEVEL_DEPOSITOR (1)
ACLLEVEL_DESIGNER (5)
ACLLEVEL_EDITOR (4)
ACLLEVEL_MANAGER (6)
ACLLEVEL_NOACCESS (0)
ACLLEVEL_READER (2)
 



","
CreateACLEntry (NotesACL - LotusScript®)


Creates an entry in the ACL with the name and level that
you specify. When used with OLE automation, this method allows you
to create a NotesACLEntry object without using New.

 Defined
in   NotesACL  
 Syntax   Set  notesACLEntry  =  notesACL .CreateACLEntry(  name$ , level% )  
Parameters   name$  String.
The name of the person, group, or server for whom you want to create
an entry in the ACL.  level%  Constant. The level
you want to assign to this person, group, or server in the ACL. May
be any of the following: 


 Level 
 Description 




 ACLLEVEL_NOACCESS (0) 
 No access 



 ACLLEVEL_DEPOSITOR (1) 
 Depositor access 



 ACLLEVEL_READER (2) 
 Reader access 



 ACLLEVEL_AUTHOR (3) 
 Author access 



 ACLLEVEL_EDITOR (4) 
 Editor access 



 ACLLEVEL_DESIGNER (5) 
 Designer access 



 ACLLEVEL_MANAGER (6) 
 Manager access 

    
 Return
value   notesACLEntry   NotesACLEntry. The newly
created entry. 
 Usage  You
must call Save on the ACL if you want the modified ACL to be saved
to disk. For more information, see the ""NotesACLEntry class."" 
   Example   



",
"
Button (LotusScript®)


Represents an action, action hotspot, or button on a form
or document.
 Note: This class is not supported in COM. 
Events   Click   ObjectExecute  
Access  To
access an action, action hotspot, or button, write a script that responds
to one of its events. A Button object has no properties or methods. 
 Usage  The
Button, Field, and Navigator classes provide entry points to scripts
from the Notes® UI. So do NotesTimer,
NotesUIDatabase, NotesUIDocument, and NotesUIView.    



","
ObjectExecute (Button class - LotusScript®)


Occurs when an action, button, or hotspot is activated
by an OLE2 server that is FX/Notesflow enabled.

 Defined
in   Button class  
 Syntax   ObjectExecute(Source
As Button, Data As Variant)  
 Parameters   Source  Button.
Read-only.  Data  Variant. Handle to the OLE2
server Dispatch/Automation interface. 
 Usage  When
you create a script that responds to this event, Domino® creates the syntax of the event for
you (including the parameter). You do not need to type it in.  See
""Using OLE
custom controls"" example for creating a form action that executes
when an embedded OLE custom control (a spreadsheet) detects a mouse
click. 



","
LotusScript® constants:
ACL level


Where used:
 
 CreateACLEntry in
NotesACL
 InternetLevel in
NotesACL
 NotesACLEntry 
 CurrentAccessLevel in
NotesDatabase
 Level in NotesACLEntry
 GrantAccess in
NotesDatabase
 QueryAccess in
NotesDatabase
 Constants: 
ACLLEVEL_AUTHOR (3)
ACLLEVEL_DEPOSITOR (1)
ACLLEVEL_DESIGNER (5)
ACLLEVEL_EDITOR (4)
ACLLEVEL_MANAGER (6)
ACLLEVEL_NOACCESS (0)
ACLLEVEL_READER (2)
 



","
InternetLevel (NotesACL - LotusScript®)


Read-write. Indicates the maximum Internet access level
for this database.
 Note: This property is new with Release 5.0. 
 Defined
in   NotesACL  
 Data
type  Integer 
 Syntax  To
get: level%  =  notesACL .InternetLevel  To
set: notesACL .InternetLevel = level%  
 Legal
values  
ACLLEVEL_NOACCESS (0)
ACLLEVEL_DEPOSITOR (1)
ACLLEVEL_READER (2)
ACLLEVEL_AUTHOR (3)
ACLLEVEL_EDITOR (4)
ACLLEVEL_DESIGNER (5)
ACLLEVEL_MANAGER (6)   
 
 Usage  After
setting this property, you must call Save for
the changes to take effect. If you do not call Save, your changes
to the ACL are lost. 
   Example   



",
"
Button (LotusScript®)


Represents an action, action hotspot, or button on a form
or document.
 Note: This class is not supported in COM. 
Events   Click   ObjectExecute  
Access  To
access an action, action hotspot, or button, write a script that responds
to one of its events. A Button object has no properties or methods. 
 Usage  The
Button, Field, and Navigator classes provide entry points to scripts
from the Notes® UI. So do NotesTimer,
NotesUIDatabase, NotesUIDocument, and NotesUIView.    



","
ObjectExecute (Button class - LotusScript®)


Occurs when an action, button, or hotspot is activated
by an OLE2 server that is FX/Notesflow enabled.

 Defined
in   Button class  
 Syntax   ObjectExecute(Source
As Button, Data As Variant)  
 Parameters   Source  Button.
Read-only.  Data  Variant. Handle to the OLE2
server Dispatch/Automation interface. 
 Usage  When
you create a script that responds to this event, Domino® creates the syntax of the event for
you (including the parameter). You do not need to type it in.  See
""Using OLE
custom controls"" example for creating a form action that executes
when an embedded OLE custom control (a spreadsheet) detects a mouse
click. 



","
LotusScript® constants:
ACL level


Where used:
 
 CreateACLEntry in
NotesACL
 InternetLevel in
NotesACL
 NotesACLEntry 
 CurrentAccessLevel in
NotesDatabase
 Level in NotesACLEntry
 GrantAccess in
NotesDatabase
 QueryAccess in
NotesDatabase
 Constants: 
ACLLEVEL_AUTHOR (3)
ACLLEVEL_DEPOSITOR (1)
ACLLEVEL_DESIGNER (5)
ACLLEVEL_EDITOR (4)
ACLLEVEL_MANAGER (6)
ACLLEVEL_NOACCESS (0)
ACLLEVEL_READER (2)
 



","
NotesACLEntry (LotusScript®)


Represents a single entry in an access control list. An
entry may be for a person, a group, or a server.

 Containment  Contained
by: NotesACL  Contains: NotesName  
 Properties   CanCreateDocuments   CanCreateLSOrJavaAgent   CanCreatePersonalAgent   CanCreatePersonalFolder   CanCreateSharedFolder   CanDeleteDocuments   CanReplicateOrCopyDocuments   IsAdminReaderAuthor   IsAdminServer   IsGroup   IsPerson   IsPublicReader   IsPublicWriter   IsServer   Level   Name   NameObject   Parent   Roles   UserType  
 Methods   DisableRole   EnableRole   IsRoleEnabled  New  Remove  
 Creation  To
create a new NotesACLEntry object, use one of the following: 
New
 Note: The New method is not supported in COM. 
CreateACLEntry method in NotesACL
 New creates an entry in an ACL with the name and level that
you specify. You must call Save on the ACL if you want the
modified ACL to be saved to disk. 
 Syntax   Dim  variableName As
New NotesACLEntry(  notesACL ,  name$ ,  level%  )  or  Set  notesACLEntry  =
New NotesACLEntry(  notesACL ,  name$ ,  level%  )  
Parameters   notesACL  The
ACL that contains the entry you're creating.  name$  String.
The name of the person, group, or server for whom you want to create
an entry in the ACL.  level%  Constant. The level
you want to assign to this person, group, or server in the ACL. May
be any of the following: 


 ACLLEVEL_NOACCESS (0) 
 No access 




 ACLLEVEL_DEPOSITOR (1) 
 Depositor access 



 ACLLEVEL_READER (2) 
 Reader access 



 ACLLEVEL_AUTHOR (3) 
 Author access 



 ACLLEVEL_EDITOR (4) 
 Editor access 



 ACLLEVEL_DESIGNER (5) 
 Designer access 



 ACLLEVEL_MANAGER (6) 
 Manager access 

 
 Access  NotesACL
provides three ways to access an existing NotesACLEntry. 
To access an entry in an ACL when you know its name, use GetEntry.
To access the first entry in the ACL, use GetFirstEntry.
To access entries after the first one, use GetNextEntry.
 

   Example   



",
"
Button (LotusScript®)


Represents an action, action hotspot, or button on a form
or document.
 Note: This class is not supported in COM. 
Events   Click   ObjectExecute  
Access  To
access an action, action hotspot, or button, write a script that responds
to one of its events. A Button object has no properties or methods. 
 Usage  The
Button, Field, and Navigator classes provide entry points to scripts
from the Notes® UI. So do NotesTimer,
NotesUIDatabase, NotesUIDocument, and NotesUIView.    



","
ObjectExecute (Button class - LotusScript®)


Occurs when an action, button, or hotspot is activated
by an OLE2 server that is FX/Notesflow enabled.

 Defined
in   Button class  
 Syntax   ObjectExecute(Source
As Button, Data As Variant)  
 Parameters   Source  Button.
Read-only.  Data  Variant. Handle to the OLE2
server Dispatch/Automation interface. 
 Usage  When
you create a script that responds to this event, Domino® creates the syntax of the event for
you (including the parameter). You do not need to type it in.  See
""Using OLE
custom controls"" example for creating a form action that executes
when an embedded OLE custom control (a spreadsheet) detects a mouse
click. 



","
LotusScript® constants:
ACL level


Where used:
 
 CreateACLEntry in
NotesACL
 InternetLevel in
NotesACL
 NotesACLEntry 
 CurrentAccessLevel in
NotesDatabase
 Level in NotesACLEntry
 GrantAccess in
NotesDatabase
 QueryAccess in
NotesDatabase
 Constants: 
ACLLEVEL_AUTHOR (3)
ACLLEVEL_DEPOSITOR (1)
ACLLEVEL_DESIGNER (5)
ACLLEVEL_EDITOR (4)
ACLLEVEL_MANAGER (6)
ACLLEVEL_NOACCESS (0)
ACLLEVEL_READER (2)
 



","
CurrentAccessLevel (NotesDatabase - LotusScript®)


Read-only. The current user's access level to a database.

 Defined
in   NotesDatabase  
 Data
type  Constant of type integer 
 Syntax  To
get: level%  =  notesDatabase .CurrentAccessLevel  
Legal
values  
ACLLEVEL_NOACCESS (0)
ACLLEVEL_DEPOSITOR (1)
ACLLEVEL_READER (2)
ACLLEVEL_AUTHOR (3)
ACLLEVEL_EDITOR (4)
ACLLEVEL_DESIGNER (5)
ACLLEVEL_MANAGER (6)   
 
 Usage  
If a script runs on a workstation, the CurrentAccessLevel is determined
by the access level of the current user. 
If a script runs on a server, the CurrentAccessLevel is determined
by the access level of the person who last saved the script (the script
owner).
 The database must be open to use this property. 
   Example   



",
"
Button (LotusScript®)


Represents an action, action hotspot, or button on a form
or document.
 Note: This class is not supported in COM. 
Events   Click   ObjectExecute  
Access  To
access an action, action hotspot, or button, write a script that responds
to one of its events. A Button object has no properties or methods. 
 Usage  The
Button, Field, and Navigator classes provide entry points to scripts
from the Notes® UI. So do NotesTimer,
NotesUIDatabase, NotesUIDocument, and NotesUIView.    



","
ObjectExecute (Button class - LotusScript®)


Occurs when an action, button, or hotspot is activated
by an OLE2 server that is FX/Notesflow enabled.

 Defined
in   Button class  
 Syntax   ObjectExecute(Source
As Button, Data As Variant)  
 Parameters   Source  Button.
Read-only.  Data  Variant. Handle to the OLE2
server Dispatch/Automation interface. 
 Usage  When
you create a script that responds to this event, Domino® creates the syntax of the event for
you (including the parameter). You do not need to type it in.  See
""Using OLE
custom controls"" example for creating a form action that executes
when an embedded OLE custom control (a spreadsheet) detects a mouse
click. 



","
LotusScript® constants:
ACL level


Where used:
 
 CreateACLEntry in
NotesACL
 InternetLevel in
NotesACL
 NotesACLEntry 
 CurrentAccessLevel in
NotesDatabase
 Level in NotesACLEntry
 GrantAccess in
NotesDatabase
 QueryAccess in
NotesDatabase
 Constants: 
ACLLEVEL_AUTHOR (3)
ACLLEVEL_DEPOSITOR (1)
ACLLEVEL_DESIGNER (5)
ACLLEVEL_EDITOR (4)
ACLLEVEL_MANAGER (6)
ACLLEVEL_NOACCESS (0)
ACLLEVEL_READER (2)
 



","
Level (NotesACLEntry - LotusScript®)


Read-write. The access level this entry has for this database.

 Defined
in   NotesACLEntry  
 Data
type  Constant of type integer 
 Syntax  To
get: level%  =  notesACLEntry .Level  To
set: notesACLEntry .Level =  level%  
 Legal
values  
ACLLEVEL_NOACCESS (0)
ACLLEVEL_DEPOSITOR (1)
ACLLEVEL_READER (2)
ACLLEVEL_AUTHOR (3)
ACLLEVEL_EDITOR (4)
ACLLEVEL_DESIGNER (5)
ACLLEVEL_MANAGER (6)   
 
   Example   



",
"
Button (LotusScript®)


Represents an action, action hotspot, or button on a form
or document.
 Note: This class is not supported in COM. 
Events   Click   ObjectExecute  
Access  To
access an action, action hotspot, or button, write a script that responds
to one of its events. A Button object has no properties or methods. 
 Usage  The
Button, Field, and Navigator classes provide entry points to scripts
from the Notes® UI. So do NotesTimer,
NotesUIDatabase, NotesUIDocument, and NotesUIView.    



","
ObjectExecute (Button class - LotusScript®)


Occurs when an action, button, or hotspot is activated
by an OLE2 server that is FX/Notesflow enabled.

 Defined
in   Button class  
 Syntax   ObjectExecute(Source
As Button, Data As Variant)  
 Parameters   Source  Button.
Read-only.  Data  Variant. Handle to the OLE2
server Dispatch/Automation interface. 
 Usage  When
you create a script that responds to this event, Domino® creates the syntax of the event for
you (including the parameter). You do not need to type it in.  See
""Using OLE
custom controls"" example for creating a form action that executes
when an embedded OLE custom control (a spreadsheet) detects a mouse
click. 



","
LotusScript® constants:
ACL level


Where used:
 
 CreateACLEntry in
NotesACL
 InternetLevel in
NotesACL
 NotesACLEntry 
 CurrentAccessLevel in
NotesDatabase
 Level in NotesACLEntry
 GrantAccess in
NotesDatabase
 QueryAccess in
NotesDatabase
 Constants: 
ACLLEVEL_AUTHOR (3)
ACLLEVEL_DEPOSITOR (1)
ACLLEVEL_DESIGNER (5)
ACLLEVEL_EDITOR (4)
ACLLEVEL_MANAGER (6)
ACLLEVEL_NOACCESS (0)
ACLLEVEL_READER (2)
 



","
GrantAccess (NotesDatabase - LotusScript®)


Modifies a database access control list to provide the
specified level of access to a person, group, or server.

 Defined
in   NotesDatabase  
 Syntax   Call  notesDatabase .GrantAccess( name$ ,  level%  )  
 Parameters   name$  String.
The name of the person, group, or server for which you want to provide
or change the access level.  level%  Integer
constant. The level of access you're granting. This parameter is one
of the following constants: 


 Level% 
 Meaning 




 ACLLEVEL_NOACCESS (0) 
 No access 



 ACLLEVEL_DEPOSITOR (1) 
 Depositor access 



 ACLLEVEL_READER (2) 
 Reader access 



 ACLLEVEL_AUTHOR (3) 
 Author access 



 ACLLEVEL_EDITOR (4) 
 Editor access 



 ACLLEVEL_DESIGNER (5) 
 Designer access 



 ACLLEVEL_MANAGER (6) 
 Manager access 

    
 Usage  This
method changes any existing NotesACL or NotesACLEntry object associated
with the database. If the name$ already exists in the
ACL, this method updates it with the access level%. Otherwise,
the name is added to the ACL with level%.  You can also
use this method to deny access to a person, group, or server by assigning
ACLLEVEL_NOACCESS. This method sets ACL roles to their default
values. 
   Example   



",
"
Button (LotusScript®)


Represents an action, action hotspot, or button on a form
or document.
 Note: This class is not supported in COM. 
Events   Click   ObjectExecute  
Access  To
access an action, action hotspot, or button, write a script that responds
to one of its events. A Button object has no properties or methods. 
 Usage  The
Button, Field, and Navigator classes provide entry points to scripts
from the Notes® UI. So do NotesTimer,
NotesUIDatabase, NotesUIDocument, and NotesUIView.    



","
ObjectExecute (Button class - LotusScript®)


Occurs when an action, button, or hotspot is activated
by an OLE2 server that is FX/Notesflow enabled.

 Defined
in   Button class  
 Syntax   ObjectExecute(Source
As Button, Data As Variant)  
 Parameters   Source  Button.
Read-only.  Data  Variant. Handle to the OLE2
server Dispatch/Automation interface. 
 Usage  When
you create a script that responds to this event, Domino® creates the syntax of the event for
you (including the parameter). You do not need to type it in.  See
""Using OLE
custom controls"" example for creating a form action that executes
when an embedded OLE custom control (a spreadsheet) detects a mouse
click. 



","
LotusScript® constants:
ACL level


Where used:
 
 CreateACLEntry in
NotesACL
 InternetLevel in
NotesACL
 NotesACLEntry 
 CurrentAccessLevel in
NotesDatabase
 Level in NotesACLEntry
 GrantAccess in
NotesDatabase
 QueryAccess in
NotesDatabase
 Constants: 
ACLLEVEL_AUTHOR (3)
ACLLEVEL_DEPOSITOR (1)
ACLLEVEL_DESIGNER (5)
ACLLEVEL_EDITOR (4)
ACLLEVEL_MANAGER (6)
ACLLEVEL_NOACCESS (0)
ACLLEVEL_READER (2)
 



","
QueryAccess (NotesDatabase - LotusScript®)


Returns the current access level of a person, group, or
server to a database.

 Defined
in   NotesDatabase  
 Syntax   level%  =  notesDatabase .QueryAccess(  name$  )  
 Parameters   name$  String.
The name of the person, group, or server. 
 Return
value   level%  Integer constant. Indicates
the current access level. One of the following: 
ACLLEVEL_NOACCESS (0)
ACLLEVEL_DEPOSITOR (1)
ACLLEVEL_READER (2)
ACLLEVEL_AUTHOR (3)
ACLLEVEL_EDITOR (4)
ACLLEVEL_DESIGNER (5)
ACLLEVEL_MANAGER(6)
 
 Usage  If
the name you specify is listed explicitly in the ACL, QueryAccess
returns the access level for that ACL entry and does not check groups. If
the name you specify is not listed explicitly in the ACL, QueryAccess
checks to see if the name is a member of a group in the primary address
book where the program is running: on a workstation the Personal Address
Book; on a server the Domino® Directory.
QueryAccess returns the highest access level among those groups. If
the name you specify is not listed in the ACL either individually
or as part of a group, QueryAccess returns the default access level
for the ACL. 
   Example   



",
"
Button (LotusScript®)


Represents an action, action hotspot, or button on a form
or document.
 Note: This class is not supported in COM. 
Events   Click   ObjectExecute  
Access  To
access an action, action hotspot, or button, write a script that responds
to one of its events. A Button object has no properties or methods. 
 Usage  The
Button, Field, and Navigator classes provide entry points to scripts
from the Notes® UI. So do NotesTimer,
NotesUIDatabase, NotesUIDocument, and NotesUIView.    



","
ObjectExecute (Button class - LotusScript®)


Occurs when an action, button, or hotspot is activated
by an OLE2 server that is FX/Notesflow enabled.

 Defined
in   Button class  
 Syntax   ObjectExecute(Source
As Button, Data As Variant)  
 Parameters   Source  Button.
Read-only.  Data  Variant. Handle to the OLE2
server Dispatch/Automation interface. 
 Usage  When
you create a script that responds to this event, Domino® creates the syntax of the event for
you (including the parameter). You do not need to type it in.  See
""Using OLE
custom controls"" example for creating a form action that executes
when an embedded OLE custom control (a spreadsheet) detects a mouse
click. 



","
LotusScript® constants:
ACL type


Where used:
 
 UserType in
NotesACLEntry
 Constants: 
ACLTYPE_MIXED_GROUP (3)
ACLTYPE_PERSON (1)
ACLTYPE_PERSON_GROUP (4)
ACLTYPE_SERVER (2)
ACLTYPE_SERVER_GROUP (5)
ACLTYPE_UNSPECIFIED (0)
 



","
UserType (NotesACLEntry - LotusScript®)


Read-write. Indicates the type of user for a particular
entry.
 Note: This property is new with Release 5. 
 Defined
in   NotesACLEntry  
 Data
type  Constant of type integer 
 Syntax  To
get: usertype%  =  notesACLEntry .UserType  To
set: notesACLEntry .UserType = usertype%  
Legal
values  
ACLTYPE_UNSPECIFIED (0)
ACLTYPE_PERSON (1)
ACLTYPE_SERVER (2)
ACLTYPE_MIXED_GROUP (3)
ACLTYPE_PERSON_GROUP (4)
ACLTYPE_SERVER_GROUP (5)
 
   Example   



",
"
Button (LotusScript®)


Represents an action, action hotspot, or button on a form
or document.
 Note: This class is not supported in COM. 
Events   Click   ObjectExecute  
Access  To
access an action, action hotspot, or button, write a script that responds
to one of its events. A Button object has no properties or methods. 
 Usage  The
Button, Field, and Navigator classes provide entry points to scripts
from the Notes® UI. So do NotesTimer,
NotesUIDatabase, NotesUIDocument, and NotesUIView.    



","
ObjectExecute (Button class - LotusScript®)


Occurs when an action, button, or hotspot is activated
by an OLE2 server that is FX/Notesflow enabled.

 Defined
in   Button class  
 Syntax   ObjectExecute(Source
As Button, Data As Variant)  
 Parameters   Source  Button.
Read-only.  Data  Variant. Handle to the OLE2
server Dispatch/Automation interface. 
 Usage  When
you create a script that responds to this event, Domino® creates the syntax of the event for
you (including the parameter). You do not need to type it in.  See
""Using OLE
custom controls"" example for creating a form action that executes
when an embedded OLE custom control (a spreadsheet) detects a mouse
click. 



","
LotusScript® constants:
align


Where used:
 
 Alignment in
NotesRichTextParagraphStyle
 Constants: 
ALIGN_CENTER (3)
ALIGN_FULL (2)
ALIGN_LEFT (0)
ALIGN_NOWRAP (4)
ALIGN_RIGHT (1)
 



",,
